date,leg,regime,epsilon
2021-07-13,CPI,pos,0.9129297154112427
2021-08-06,NFP,neg,-0.8997082437261532
2021-08-11,CPI,neg,1.2447643054010449
2021-09-03,NFP,neg,-0.1283723159289165
2021-09-14,CPI,neg,-2.0277407429067194
2021-10-01,NFP,neg,0.20090056828586858
2021-10-13,CPI,neg,0.6484680728759288
2021-11-05,NFP,neg,0.2845252262328231
2021-11-10,CPI,neg,9.79360064485818
2021-12-03,NFP,neg,-0.08123460297765239
2021-12-10,CPI,neg,0.37466902871729824
2022-01-07,NFP,neg,-0.10383219801140962
2022-01-12,CPI,neg,-0.46068325646628644
2022-02-04,NFP,neg,1.1324482506905447
2022-02-10,CPI,neg,3.3918552399812834
2022-03-04,NFP,neg,-0.23363445333055305
2022-03-10,CPI,neg,-0.05668410830975578
2022-04-01,NFP,neg,-0.13060957144678045
2022-04-12,CPI,neg,-0.4986339687990592
2022-05-06,NFP,neg,-0.2889817109298327
2022-05-11,CPI,pos,0.18193499357539675
2022-06-03,NFP,neg,-0.12337244207949573
2022-06-10,CPI,neg,-0.21388447247156997
2022-07-01,NFP,pos,1.3663394059940335
2022-07-13,CPI,pos,0.5297632904771776
2022-08-05,NFP,pos,0.03166213630771601
2022-08-10,CPI,pos,1.367235246397062
2022-09-02,NFP,pos,-0.9286827330199601
2022-09-13,CPI,pos,6.444424883451559
2022-10-07,NFP,pos,0.534845900145893
2022-10-13,CPI,pos,-7.939503688975561
2022-11-04,NFP,pos,-0.13927679717511285
2022-11-10,CPI,pos,6.10773067015348
2022-12-02,NFP,pos,-0.4789505065700809
2022-12-13,CPI,pos,1.0860442323677257
2023-01-06,NFP,pos,-0.3217009073697687
2023-01-12,CPI,pos,0.7662208531150793
2023-02-03,NFP,pos,-0.01411065268736154
2023-02-14,CPI,pos,0.10471519893092568
2023-03-03,NFP,pos,0.10121539981825549
2023-03-14,CPI,pos,-0.32643451296439185
2023-04-07,NFP,neg,0.7166572384809049
2023-04-12,CPI,neg,-3.9668044088753587
2023-05-05,NFP,neg,-0.2102146596474284
2023-05-10,CPI,neg,5.62852706044673
2023-06-02,NFP,neg,-4.786502020611394
2023-06-13,CPI,neg,-2.1289565947656897
2023-07-07,NFP,neg,-0.7565976131224013
2023-07-12,CPI,neg,5.442921072697219
2023-08-04,NFP,pos,-2.991450986578583
2023-08-10,CPI,pos,0.7581137353749308
2023-09-01,NFP,pos,-0.565133763964346
2023-09-13,CPI,pos,0.8342068628465364
2023-10-06,NFP,pos,-1.9964693600173369
2023-10-12,CPI,pos,0.7512400826907005
2023-11-03,NFP,pos,0.20572417862684567
2023-11-14,CPI,pos,7.533612868691973
2023-12-01,NFP,pos,4.343575561043143
2023-12-12,CPI,pos,2.0549417461055675
2024-01-05,NFP,pos,-0.28379912899185855
2024-01-11,CPI,pos,-0.5739786753399219
2024-02-02,NFP,pos,-0.37692761412616893
2024-02-13,CPI,pos,23.722286299394632
2024-03-01,NFP,pos,0.6061747514591092
2024-03-12,CPI,pos,-5.155847832778847
2024-04-05,NFP,pos,-1.257741883518137
2024-04-10,CPI,pos,53.17883173109506
2024-05-03,NFP,pos,0.18654415954892958
2024-05-15,CPI,pos,15.657769279245892
2024-06-07,NFP,pos,0.18786608219372197
2024-06-12,CPI,pos,13.633775157362749
2024-07-05,NFP,pos,1.3249579883422977
2024-07-11,CPI,pos,-2.430484354932874
2024-08-02,NFP,pos,-1.350447471317893
2024-08-14,CPI,neg,-0.3785646216152692
2024-09-06,NFP,neg,-0.07889686857521336
2024-09-11,CPI,neg,-0.7456879016118438
2024-10-04,NFP,neg,-2.547291145651343
2024-10-10,CPI,neg,0.048150503027431214
2024-11-01,NFP,neg,-0.5267299583239151
2024-11-13,CPI,neg,-0.6769702536745494
2024-12-06,NFP,neg,-0.4841014610109158
2024-12-11,CPI,neg,-2.9089281846426416
2025-01-03,NFP,neg,0.24519583990809182
2025-01-15,CPI,neg,25.889346990606096
2025-02-07,NFP,pos,1.264763665839093
2025-02-12,CPI,pos,2.0454767931041005
2025-03-07,NFP,pos,-0.1064335256583524
2025-03-12,CPI,pos,0.2520074837601243
2025-04-04,NFP,neg,-0.04878964251489521
2025-04-10,CPI,neg,0.23878793273554938
2025-05-02,NFP,neg,-4.548062504197743
2025-05-13,CPI,neg,0.34339732492269187
2025-06-06,NFP,neg,-2.2613826212775487
2025-06-11,CPI,neg,-2.838568779276735
2025-07-04,NFP,neg,0.4856650432940395
2025-07-15,CPI,neg,1.4861217600516181
2025-08-01,NFP,pos,-4.553348043174704
2025-08-12,CPI,neg,0.3522747975270534
2025-09-05,NFP,pos,-2.2476936287972684
2025-09-11,CPI,neg,0.8642595149577209
2025-10-03,NFP,neg,-0.5352666405374668
2025-10-15,CPI,neg,0.25661577988591444
2025-11-07,NFP,neg,0.5080358772804335
2025-11-13,CPI,neg,1.464954118139437
2025-12-05,NFP,neg,0.29241782004163946
2025-12-10,CPI,neg,2.8517048484224277
